PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
265820060,21206014,99,2021-11-12T06:50:00,"100 Block Calhoun Ave Pittsburgh, PA 15210",N,Carrick,3,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2902,4,3,-79.9891701857212,40.4060107643728
265820654,21205705,0,2021-11-11T19:45:00,"100 Block Art Rooney Ave Pittsburgh, PA 15212",Y,North Shore,1,99,601.16 Public Urination And Defecation,2205,1,6,-80.0157793215862,40.4467840308319
265823975,21204301,14,2021-11-07T11:30:00,"1400 Block 5th Ave Pittsburgh, PA 15219",N,Central Business District,2,CRIM MISCHIEF,"3304 Criminal Mischief. / 3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",201,6,3,-79.9863133607321,40.4383779130496
-3344110506,21196482,26,2021-10-27T13:06:00,"900 Block Eldora Pl Pittsburgh, PA 15210",N,Beltzhoover,3,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,1809,3,5,-80.0012340045185,40.4139756391816
265163263,21200909,99,2021-11-03T13:53:00,"7100 Block Kedron St Pittsburgh, PA 15208",N,Homewood North,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1302,9,2,-79.8975131476962,40.4613935568173
265652085,21204819,6,2021-11-08T09:15:00,"200 Block Davenport St Pittsburgh, PA 15219",N,Middle Hill,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,501,6,3,-79.9810587722273,40.4459792650082
265974885,21207734,99,2021-11-15T11:15:00,"400 Block West Commons Pittsburgh, PA 15212",N,Allegheny Center,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2204,1,1,-80.0071878803787,40.4507203420771
265990011,21207880,0,2021-11-15T15:00:00,"200 Block East Ohio St Pittsburgh, PA 15212",N,Allegheny Center,1,99,9993 PFA Service with Weapons Supplement,2204,,,0,0
265179344,21200985,0,2021-11-03T16:25:00,"700 Block Webster Ter Pittsburgh, PA 15219",N,Middle Hill,2,99,9994 PFA Service,501,6,3,-79.9676102716052,40.4518701613381
264803731,21197519,14,2021-10-28T22:00:00,"800 Block Loyal Way Pittsburgh, PA 15210",Y,Allentown,3,CRIM MISCHIEF,3304 Criminal Mischief.,1803,3,5,-79.9936572116194,40.4195604281994
265221946,21201258,0,2021-11-04T01:14:00,"400 Block Greentree Rd Pittsburgh, PA 15220",N,West End,6,99,9999 9999 - (Misc. Incident): ,2019,2,5,-80.0339632655163,40.4358516348625
266392907,21210343,99,2021-11-19T19:50:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,DRUG INVESTIGATION,9124 Drug Investigation,2507,6,1,-80.0165685056208,40.4568744092444
266393278,21210309,18,2021-11-19T19:14:00,"1300 Block 5th Ave Pittsburgh, PA 15219",Y,Bluff,2,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(30)* Delivery of Controlled Substance,103,6,3,-79.9881564274288,40.4385460875043
266393588,21208291,99,2021-11-06T23:59:00,"5300 Block Gertrude St Pittsburgh, PA 15207",N,Hazelwood,4,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1515,5,3,-79.9417184786566,40.4046211621896
266397822,21210368,26,2021-11-19T21:30:00,"2400 Block Chauncey Dr Pittsburgh, PA 15219",Y,Bedford Dwellings,2,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,509,6,3,-79.9746251357847,40.4498408057687
266399896,21210383,6,2021-11-19T22:05:00,"20 Block Bailey Ave Pittsburgh, PA 15211",N,Mount Washington,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1807,3,5,-80.0049238597881,40.4267009632189
-3396112660,21210398,0,2021-11-19T22:47:00,"1100 Block Steuben St Pittsburgh, PA 15220",N,Crafton Heights,6,99,8106 Shots Fired,2815,2,5,-80.0453424101545,40.4419431084163
266407168,21210497,0,2021-11-20T03:50:00,"200 Block East Ohio St Pittsburgh, PA 15212",Y,Allegheny Center,1,99,9093 Indirect Criminal Contempt,2204,,,0,0
266407259,21210478,10,2021-11-20T02:30:00,"20 Block Roselle Dr Pittsburgh, PA 15207",Y,Glen Hazel,4,SIMPLE ASSAULT,2701 Simple Assault.,1504,5,3,-79.9317591866409,40.4067913276581
266412567,21210550,99,2021-11-20T08:27:00,"Try St & 1st Ave Pittsburgh, PA 15219",N,Central Business District,2,FOUND DRUGS,9017 Found Drugs,201,6,6,-79.9962925623485,40.4356402959675
266417687,21210684,27,2021-11-20T12:00:00,"4200 Block Main St Pittsburgh, PA 15224",N,Bloomfield,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,903,7,2,-79.9544019071416,40.4648932051879
264707537,21196741,99,2021-10-27T19:40:00,"500 Block William Penn Pl Pittsburgh, PA 15219",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,,,0,0
264730237,21196909,27,2021-10-28T02:30:00,"Centre Ave & 6st Ave Pittsburgh, PA ",N,Central Business District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,201,,,0,0
-3546012284,21197099,0,2021-10-28T12:09:00,"800 Block Reunion Pl Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9994 PFA Service,509,,,0,0
264825840,21197553,99,2021-10-29T00:30:00,"7200 Block Tioga St Pittsburgh, PA 15208",N,Homewood South,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic / 9999 9999 - (Misc. Incident): ,1303,,,0,0
266112930,21208575,10,2021-11-15T20:49:00,"200 Block Johnston Ave Pittsburgh, PA 15207",Y,Hazelwood,4,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1515,5,3,-79.9417473406889,40.406195916186
266112966,21208626,0,2021-11-16T20:17:00,"200 Block Johnston Ave Pittsburgh, PA 15207",N,Hazelwood,4,99,9994 PFA Service,1515,5,3,-79.9417473406889,40.406195916186
266172422,21208966,10,2021-11-11T12:00:00,"2100 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,1609,3,3,-79.9760719669211,40.4283146103026
266188968,21209045,11,2021-11-09T00:01:00,"4100 Block Haldane St Pittsburgh, PA 15207",N,Greenfield,4,IDENTITY THEFT,4120 Identity Theft,1516,5,3,-79.9428911020017,40.4236654167459
266190842,21209047,14,2021-11-15T17:30:00,"5000 Block Broad St Pittsburgh, PA 15224",N,Garfield,5,CRIM MISCHIEF,3304 Criminal Mischief.,1017,9,2,-79.9437026930321,40.4666279542648
266198252,21209102,27,2021-11-17T16:30:00,"Black St & N Aiken Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1113,9,2,-79.9327904680618,40.470644740739
266203672,21209144,14,2021-11-17T18:00:00,"300 Block W Sycamore St Pittsburgh, PA 15211",N,Mount Washington,3,CRIM MISCHIEF,3304 Criminal Mischief.,1903,2,5,-80.0103691246976,40.4324035134487
266209466,21209157,27,2021-11-17T11:00:00,"100 Block 44th St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,901,7,2,-79.9628171904393,40.4734891995484
266210316,21209200,10,2021-11-17T19:16:00,"4400 Block Browns Hill Rd Pittsburgh, PA 15217",N,Squirrel Hill South,4,TERRORISTIC THREATS,2706 Terroristic Threats.,1414,,,0,0
264632824,21196317,6,2021-10-27T06:55:00,"3400 Block Ward St Pittsburgh, PA 15213",N,Central Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle,406,3,3,-79.9545983165413,40.4346231798695
-3530106359,21197088,27,2021-10-28T11:00:00,"E Carson St & Hot Metal St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1609,3,3,-79.9645313854748,40.4254236768527
265062392,21200272,0,2021-11-02T11:15:00,"Ohio River Blvd & Mckees Rocks Brg Pittsburgh, PA 15212",N,Brighton Heights,1,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,2701,1,1,-80.0438525222314,40.4795625086697
265088978,21200409,10,2021-11-02T15:25:00,"Hazelwood Ave & Monongahela St Pittsburgh, PA 15207",Y,Hazelwood,4,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1501,5,3,-79.9428163260867,40.4116637689879
265092097,21200422,99,2021-11-02T15:49:00,"8600 Block Bricelyn St Pittsburgh, PA 15221",Y,East Hills,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1306,9,2,-79.8743592274177,40.4578647734886
265093883,21200497,0,2021-11-02T17:48:00,"200 Block Mansion St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): dangerous animal,1515,5,3,-79.9412127399133,40.4039225963609
-3266000418,21200466,11,2021-11-02T17:00:00,"4700 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,CREDIT CARDS,4106 Access Device Fraud,809,7,2,-79.9498576275047,40.4620780855382
265099243,21200426,10,2021-11-02T15:30:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Esplen,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,103,6,6,-79.9931846836602,40.4350718181921
265109579,21200682,99,2021-11-03T01:30:00,"Manton Way & Allen St Pittsburgh, PA 15210",N,Allentown,3,FOUND PROPERTY,9489 Found Property,1803,3,5,-79.9937307545157,40.4213091633017
266384710,21209619,27,2021-11-18T15:00:00,"Darragh St & Terrace St Pittsburgh, PA 15213",Y,West Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid / 3714 Careless Driving,402,8,3,-79.9628399867637,40.4419676348477
266385609,21209000,18,2021-11-17T13:40:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 1543 Driving While Operating Privilege is Suspended or Revoked.,201,6,6,-79.9960409452176,40.4350395659105
266388973,21210205,6,2021-11-19T02:58:00,"1500 Block Metropolitan St Pittsburgh, PA 15233",N,Chateau,1,THEFT FROM AUTO,3934 Theft from Vehicle,2108,6,1,-80.0309342839059,40.454364120702
-3542039805,21210345,99,2021-11-19T20:27:00,"900 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,AIDED CASE,9497 Aided Case,1919,4,5,-80.0191898061447,40.3928794375987
266395219,21210331,10,2021-11-19T19:56:00,"40 Block Bigelow St Pittsburgh, PA 15207",N,Hazelwood,4,SIMPLE ASSAULT,2701 Simple Assault.,1501,5,3,-79.9491909571066,40.4242965434021
-3318005450,21210445,99,2021-11-20T00:50:00,"Stanton Ave & N St Clair St Pittsburgh, PA 15206",N,Highland Park,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1102,9,2,-79.9240315444192,40.4707390734235
266409081,21210152,0,2021-11-08T16:00:00,"300 Block 5th Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-80.0002903704474,40.4405261905044
265148996,21200881,10,2021-11-01T13:00:00,"5100 Block Friendship Ave Pittsburgh, PA 15224",Y,Bloomfield,5,HARRASSMENT,2709 Harassment (Non-Specific),806,7,2,-79.9428398816614,40.4622011462417
265600547,21204397,10,2021-11-09T13:00:00,"80 Block Swinburne St Pittsburgh, PA 15213",N,South Oakland,4,HARRASSMENT,2709 Harassment (Non-Specific),409,,,0,0
265705817,21205107,27,2021-11-10T16:51:00,"S Negley Ave & 5th Ave Pittsburgh, PA 15232",N,Squirrel Hill North,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1402,8,3,-79.9296495675179,40.4498350451979
264678801,21196541,5,2021-10-27T14:57:00,"6600 Block Hedge St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,BURGLARY,3502 Burglary.,1203,,,0,0
264679176,21196634,0,2021-10-27T16:50:00,"200 Block Roup Ave Pittsburgh, PA 15206",N,Friendship,5,99,9999 9999 - (Misc. Incident): ,807,9,2,-79.9346937139802,40.4626402585973
264709060,21196650,99,2021-10-27T17:24:00,"2100 Block Lowrie St Pittsburgh, PA 15212",Y,Troy Hill,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2406,1,1,-79.9788497781225,40.4692653644444
-3477261422,21206089,27,2021-11-12T08:00:00,"P J Mc Ardle Rdwy & Liberty Brg Pittsburgh, PA 15203",Y,South Side Slopes,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1706,3,3,-79.999271043209,40.4291549065382
265831656,21206131,27,2021-11-12T11:55:00,"Upland St & N Homewood Ave Pittsburgh, PA 15208",N,Homewood North,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1301,9,2,-79.8945974559003,40.4617744049726
-3417088629,21206088,6,2021-11-12T10:00:00,"300 Block Wilbur St Pittsburgh, PA 15210",N,Knoxville,3,THEFT FROM AUTO,"3934 Theft from Vehicle / 1333 Lost, Stolen, Damaged or Illegible Registration Plate.",3001,4,5,-79.9944964684383,40.4077463925987
265851659,21206285,0,2021-11-12T16:55:00,"Panther Hollow Rd Ramp & Panther Hollow Rd Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): DISPATCHING A WOUNDED DEER,1413,,,0,0
265858873,21206370,99,2021-11-12T18:20:00,"2400 Block Railroad St Pittsburgh, PA 15222",N,Strip District,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),203,7,6,-79.9822693694483,40.4547588959841
265862295,21206471,99,2021-11-12T22:00:00,"2000 Block Plainview Ave Pittsburgh, PA 15226",N,Brookline,6,FOUND PROPERTY,9489 Found Property,1917,4,5,-80.0169320907125,40.4030010372904
264620938,21196228,6,2021-10-27T00:20:00,"2500 Block Centre Ave Pittsburgh, PA 15219",N,Middle Hill,2,THEFT FROM AUTO,3934 Theft from Vehicle,501,6,3,-79.9705704510554,40.4455253818667
264623219,21196244,10,2021-10-27T01:06:00,"East Liberty Blvd & Broad St Pittsburgh, PA 15206",N,East Liberty,5,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 5121 Escape. / 3736 Reckless Driving / 3111 Obedience to Traffic-Control Devices. / 3733 Fleeing or Attempting to Elude Police Officer,1115,9,2,-79.9158059461369,40.4608138066627
265317924,21201713,6,2021-11-04T20:30:00,"20 Block Bailey Ave Pittsburgh, PA 15211",N,Mount Washington,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1807,3,5,-80.0049238597881,40.4267009632189
265261337,21201439,6,2021-11-02T23:59:00,"3200 Block Bainton St Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,2703,,,0,0
265271410,21201499,27,2021-11-04T09:30:00,"Wilkins Ave & Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill North,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1403,8,3,-79.9177797179986,40.4443346268558
265328931,21201785,0,2021-11-04T23:37:00,"2300 Block Groveland St Pittsburgh, PA 15234",N,Overbrook,3,99,9999 9999 - (Misc. Incident): Self inflicted GSW,3207,,,0,0
265331093,21201836,99,2021-11-05T02:05:00,"Fort Duquesne Blvd & Stanwix St Pittsburgh, PA 15222",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,6,6,-80.0047626785716,40.4436512142619
265331851,21201779,27,2021-11-04T23:11:00,"Crosstown Blvd & Crosstown Blvd Ramp Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,6,3,-79.994482056925,40.436146393972
265355645,21202039,0,2021-11-05T11:03:00,"200 Block Hazelwood Pittsburgh, PA 15207",N,Hazelwood,4,99,9093 Indirect Criminal Contempt,1501,5,3,-79.9415377721328,40.4118107764474
266420809,21206279,6,2021-11-12T16:25:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Knoxville,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,3001,6,6,-79.9960409452176,40.4350395659105
266426596,21210764,0,2021-11-20T16:48:00,"200 Block Knox Ave Pittsburgh, PA 15210",N,Knoxville,3,99,9999 9999 - (Misc. Incident): ,3001,3,5,-79.9903634214508,40.4113552893439
266429147,21210846,99,2021-11-20T19:56:00,"90 Block Craighead St Pittsburgh, PA 15211",N,Mount Washington,3,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1807,3,5,-79.9985042194952,40.4227157245719
266436834,21210980,27,2021-11-21T00:29:00,"2400 Block West Liberty Ave Pittsburgh, PA 15226",Y,Beechview,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1920,4,5,-80.0242400736428,40.3998041585528
266440329,21210948,27,2021-11-20T23:02:00,"3100 Block Brereton St Pittsburgh, PA 15219",N,Polish Hill,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,605,7,6,-79.9671563069741,40.456539681257
266441406,21211052,0,2021-11-21T03:07:00,"Soho St & Centre Ave Pittsburgh, PA 15219",N,Middle Hill,2,99,9999 9999 - (Misc. Incident): ,501,6,3,-79.973987343658,40.4452099991727
